product_a_id,product_a,product_b_id,product_b,pair_count,support,product_a_count,product_a_support,confidence_a_to_b,product_b_support,lift
15984,Almond Milk Blueberry Yogurt,38312,Almond Milk Strawberry Yogurt,721,0.001024553764915357,1171,0.001664011731922168,0.6157130657557643,0.002078948901624365,296.16556004559965
12576,Kiwi Sandia Sparkling Water,39947,Blackberry Cucumber Sparkling Water,799,0.0011353931458632043,2083,0.002959979878389305,0.38358137301968315,0.003639226341120984,105.40190058679596
36316,Lemon Sparkling Water,47977,Grapefruit Sparkling Water,827,0.0011751816415880726,2210,0.0031404491268556714,0.3742081447963801,0.0045515197073840346,82.21608800007911
28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,36865,Non Fat Raspberry Yogurt,1539,0.0021869462471632932,4229,0.006009483872159563,0.3639158193426342,0.004737673026668239,76.8131986513551
8309,Nonfat Icelandic Style Strawberry Yogurt,28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,973,0.0013826502264391713,2279,0.0032384993484633824,0.42694164107064503,0.006009483872159563,71.04464379188352
13263,Non Fat Acai & Mixed Berries Yogurt,28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,770,0.0010941836324338764,1814,0.002577726115889678,0.4244762954796031,0.006009483872159563,70.63440130792192
8309,Nonfat Icelandic Style Strawberry Yogurt,36865,Non Fat Raspberry Yogurt,718,0.0010202907118019783,2279,0.0032384993484633824,0.31505046072838966,0.004737673026668239,66.498987784716
24799,Vanilla Skyr Nonfat Yogurt,28465,Icelandic Style Skyr Blueberry Non-fat Yogurt,1485,0.0021102112911224762,3786,0.005379973029083969,0.39223454833597465,0.006009483872159563,65.26925717416421
8309,Nonfat Icelandic Style Strawberry Yogurt,24799,Vanilla Skyr Nonfat Yogurt,783,0.001112656862591851,2279,0.0032384993484633824,0.3435717419921018,0.005379973029083969,63.8612387338679
24799,Vanilla Skyr Nonfat Yogurt,36865,Non Fat Raspberry Yogurt,988,0.0014039654920060649,3786,0.005379973029083969,0.26096143687268886,0.004737673026668239,55.08219655593446
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,2217,0.0031503962507868884,4586,0.006516787192651633,0.48342782381160054,0.009259351362258623,52.20968563543943
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,33787,Total 2% Lowfat Greek Strained Yogurt with Peach,1433,0.002036318370490578,4586,0.006516787192651633,0.3124727431312691,0.006162953784241198,50.701782630638654
33787,Total 2% Lowfat Greek Strained Yogurt with Peach,40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,1131,0.0016071710237437848,4337,0.006162953784241198,0.2607793405579894,0.005641440286704532,46.22566708231962
33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,33787,Total 2% Lowfat Greek Strained Yogurt with Peach,1828,0.002597620363752112,6516,0.009259351362258623,0.2805402087170043,0.006162953784241198,45.52041416152617
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,1172,0.0016654327496266276,4586,0.006516787192651633,0.25556040122110774,0.005641440286704532,45.30055947297712
20119,Sparkling Water Berry,26620,Peach Pear Flavored Sparkling Water,774,0.0010998677032517147,3529,0.0050147714790378575,0.21932558798526494,0.006511103121833795,33.6848585994279
18523,Total 2% All Natural Greek Strained Yogurt with Honey,33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,1468,0.002086053990146663,5380,0.00764507524999254,0.2728624535315985,0.009259351362258623,29.468851851091163
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,18523,Total 2% All Natural Greek Strained Yogurt with Honey,1000,0.0014210177044595798,4586,0.006516787192651633,0.21805494984736154,0.00764507524999254,28.522276461251877
22124,Total 0% Raspberry Yogurt,33754,Total 2% with Strawberry Lowfat Greek Strained Yogurt,759,0.001078552437684821,2950,0.004192002228155761,0.25728813559322034,0.009259351362258623,27.786842244904328
1158,Mango Chunks,46802,Pineapple Chunks,831,0.0011808657124059109,4045,0.005748016614539,0.2054388133498146,0.007815597374527689,26.285746758062707
17948,Frozen Organic Wild Blueberries,24489,Organic Whole Strawberries,1606,0.002282154433362085,6595,0.00937161176091093,0.2435178165276725,0.009627394947713653,25.294258504010365
2295,Yellow Bell Pepper,15290,Orange Bell Pepper,1577,0.0022409449199327575,5542,0.007875280118114992,0.28455431252255503,0.011692133672293423,24.337244210340902
20119,Sparkling Water Berry,21709,Sparkling Lemon Water,769,0.0010927626147294168,3529,0.0050147714790378575,0.21790875602153584,0.009587606451988785,22.728170697529453
21709,Sparkling Lemon Water,35221,Lime Sparkling Water,1671,0.002374520584151958,6747,0.009587606451988785,0.24766562916851934,0.013896132131910231,17.822630557735923
20119,Sparkling Water Berry,35221,Lime Sparkling Water,844,0.0011993389425638853,3529,0.0050147714790378575,0.23916123547747237,0.013896132131910231,17.21063337677087
8048,Packaged Grape Tomatoes,12341,Hass Avocados,717,0.0010188696940975188,2772,0.003939061076761955,0.25865800865800864,0.015585722182512671,16.595830827026123
20119,Sparkling Water Berry,44632,Sparkling Water Grapefruit,1207,0.001715168369282713,3529,0.0050147714790378575,0.34202323604420515,0.02307022243190128,14.825311591762494
21288,Blackberries,43352,Raspberries,1303,0.0018515860689108325,4996,0.007099404451480061,0.260808646917534,0.018478914228792376,14.113851262492615
26620,Peach Pear Flavored Sparkling Water,44632,Sparkling Water Grapefruit,1395,0.0019823196977211137,4582,0.006511103121833795,0.30445220427760805,0.02307022243190128,13.196760680409154
41065,Organic Yellow Squash,45007,Organic Zucchini,1003,0.0014252807575729587,2372,0.0033706539949781233,0.422849915682968,0.032642197689141006,12.95408843821923
21709,Sparkling Lemon Water,44632,Sparkling Water Grapefruit,1944,0.0027624584174694234,6747,0.009587606451988785,0.2881280569141841,0.02307022243190128,12.489175505987467
35221,Lime Sparkling Water,44632,Sparkling Water Grapefruit,2659,0.0037784860761580228,9779,0.013896132131910231,0.27190919316903567,0.02307022243190128,11.786153946788232
14947,Pure Sparkling Water,44632,Sparkling Water Grapefruit,1314,0.001867217263659888,6035,0.008575841846413565,0.21772990886495444,0.02307022243190128,9.437703061062802
6104,Whole Milk Plain Yogurt,27845,Organic Whole Milk,860,0.0012220752258352387,3212,0.00456430886672417,0.26774595267745954,0.04265184639935429,6.277476247347476
20114,Jalapeno Peppers,26209,Limes,2467,0.0035056506769017837,9269,0.013171413102635846,0.26615600388391414,0.043055415427420814,6.181707951060825
8048,Packaged Grape Tomatoes,16797,Strawberries,721,0.001024553764915357,2772,0.003939061076761955,0.2601010101010101,0.043535719411528145,5.974427748450989
15937,Shallot,47626,Large Lemon,844,0.0011993389425638853,3807,0.005409814400877621,0.2216968741791437,0.047734826728206205,4.644342283705084
19706,Organic Nectarine,21137,Organic Strawberries,935,0.0013286515536697072,2706,0.003845273908267623,0.34552845528455284,0.082423289911769,4.192121615800921
26940,Organic Large Green Asparagus,47209,Organic Hass Avocado,1033,0.001467911288706746,4096,0.005820488517466439,0.252197265625,0.06600058830132964,3.8211366309884736
5876,Organic Lemon,47209,Organic Hass Avocado,4696,0.006673099140142187,19499,0.027708424219257347,0.24083286322375508,0.06600058830132964,3.648950250628346
36695,Organic Hothouse Cucumbers,47209,Organic Hass Avocado,1141,0.0016213812007883806,5101,0.007248611310448317,0.22368163105273475,0.06600058830132964,3.3890854128678805
30391,Organic Cucumber,47209,Organic Hass Avocado,3912,0.0055590212598458765,18282,0.025979045672930037,0.21398096488349197,0.06600058830132964,3.2421069325404956
260,Cantaloupe,21137,Organic Strawberries,1386,0.0019695305383809775,5350,0.007602444718858752,0.25906542056074766,0.082423289911769,3.1431094395536423
46969,Organic Bosc Pear,47209,Organic Hass Avocado,985,0.0013997024388926861,4759,0.0067626232555231406,0.20697625551586468,0.06600058830132964,3.1359759184403355
17948,Frozen Organic Wild Blueberries,21903,Organic Baby Spinach,1519,0.0021585258930741018,6595,0.00937161176091093,0.23032600454890068,0.0736769259408203,3.1261619782278376
22963,Organic Roasted Turkey Breast,47209,Organic Hass Avocado,1343,0.0019084267770892159,6510,0.009250825256031865,0.20629800307219662,0.06600058830132964,3.1256994578643864
39928,Organic Kiwi,47209,Organic Hass Avocado,2373,0.003372075012682583,11597,0.016479542318617747,0.20462188497025094,0.06600058830132964,3.100303955413813
43768,Organic Bell Pepper,47209,Organic Hass Avocado,1101,0.0015645404926099974,5384,0.007650759320810378,0.20449479940564635,0.06600058830132964,3.098378433719607
22825,Organic D'Anjou Pears,47209,Organic Hass Avocado,2277,0.0032356573130544633,11151,0.015845768422428776,0.20419693301049233,0.06600058830132964,3.0938653467484105
41950,Organic Tomato Cluster,47209,Organic Hass Avocado,2796,0.003973165501668986,13773,0.019571676843521794,0.20300588107166195,0.06600058830132964,3.075819266107545
10749,Organic Red Bell Pepper,47209,Organic Hass Avocado,2575,0.003659120588983418,12730,0.01808955537777045,0.20227808326787117,0.06600058830132964,3.064792124948318
17600,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",21137,Organic Strawberries,1046,0.0014863845188647206,4223,0.006000957765932805,0.24769121477622544,0.082423289911769,3.005111965821426
13629,Organic Snipped Green Beans,21137,Organic Strawberries,969,0.001376966155621333,3955,0.005620125021137639,0.2450063211125158,0.082423289911769,2.972537511846297
1158,Mango Chunks,21903,Organic Baby Spinach,862,0.0012249172612441579,4045,0.005748016614539,0.21310259579728058,0.0736769259408203,2.8923926056368248
19048,Organic Butternut Squash,21903,Organic Baby Spinach,854,0.0012135491196084813,4144,0.005888697367280499,0.20608108108108109,0.0736769259408203,2.797091198492892
11782,Bing Cherries,21137,Organic Strawberries,711,0.0010103435878707613,3099,0.004403733866120238,0.22942884801548888,0.082423289911769,2.783543926250502
8174,Organic Navel Orange,13176,Bag of Organic Bananas,2987,0.004244579883220765,9109,0.012944050269922312,0.3279174442858711,0.11836082765755178,2.7704896186990204
3952,Organic Broccoli Crowns,21137,Organic Strawberries,872,0.0012391274382887536,4134,0.005874487190235903,0.21093372036768263,0.082423289911769,2.559151916812337
5212,Watermelon Chunks,21137,Organic Strawberries,1159,0.0016469595194686531,5556,0.007895174365977425,0.2086033117350612,0.082423289911769,2.5308782500475666
10132,Organic American Cheese Singles,21137,Organic Strawberries,783,0.001112656862591851,3766,0.005351552674994778,0.20791290493892725,0.082423289911769,2.5225018943248942
19057,Organic Large Extra Fancy Fuji Apple,21137,Organic Strawberries,3478,0.004942299576110419,16821,0.023902938806714593,0.20676535283276856,0.082423289911769,2.508579226261206
10749,Organic Red Bell Pepper,21137,Organic Strawberries,2586,0.0036747517837324734,12730,0.01808955537777045,0.20314218381775334,0.082423289911769,2.4646211530164512
18370,Organic Shredded Mozzarella,21137,Organic Strawberries,841,0.0011950758894505066,4148,0.005894381438098337,0.20274831243973,0.082423289911769,2.45984251122182
9839,Organic Broccoli,21137,Organic Strawberries,1773,0.002519464390006835,8789,0.012489324604495247,0.20172943452042325,0.082423289911769,2.447480981848297
3896,Organic Honey Sweet Whole Wheat Bread,13176,Bag of Organic Bananas,791,0.0011240250042275277,2770,0.003936219041353036,0.2855595667870036,0.11836082765755178,2.4126188743221757
5134,Organic Thompson Seedless Raisins,13176,Bag of Organic Bananas,870,0.0012362854028798345,3085,0.004383839618257804,0.2820097244732577,0.11836082765755178,2.382627175345412
9387,Granny Smith Apples,24852,Banana,2733,0.0038836413862880317,7847,0.011150725926894324,0.3482859691601886,0.14753858418322033,2.3606432926567247
8277,Apple Honeycrisp Organic,13176,Bag of Organic Bananas,5071,0.007205980779314529,18500,0.026288827532502227,0.2741081081081081,0.11836082765755178,2.315868463687776
6184,Clementines,13176,Bag of Organic Bananas,1763,0.002505254212962239,6704,0.009526502690697023,0.26297732696897375,0.11836082765755178,2.221827374592501
3952,Organic Broccoli Crowns,13176,Bag of Organic Bananas,1078,0.0015318570854074272,4134,0.005874487190235903,0.2607643928398645,0.11836082765755178,2.2031308668635097
8424,Broccoli Crown,24852,Banana,2995,0.004255948024856441,9221,0.013103204252821786,0.3248020822036655,0.14753858418322033,2.2014721369449437
2825,Organic Original Hommus,13176,Bag of Organic Bananas,767,0.0010899205793204977,2948,0.004189160192746842,0.2601763907734057,0.11836082765755178,2.198162989584381
5876,Organic Lemon,13176,Bag of Organic Bananas,5060,0.007190349584565474,19499,0.027708424219257347,0.259500487204472,0.11836082765755178,2.192452455260565
